City,Region,Population,link
Kuopio,Central Finland,"118,000",https://www.worlddata.info/europe/finland/index.php
Pori,Central Finland,"77,000",https://www.worlddata.info/europe/finland/index.php
Lappeenranta,Kymi,"59,000",https://www.worlddata.info/europe/finland/index.php
Vaasa,Central Finland,"57,000",https://www.worlddata.info/europe/finland/index.php
Joensuu,North Karelia,"53,000",https://www.worlddata.info/europe/finland/index.php
Hämeenlinna,Central Finland,"47,000",https://www.worlddata.info/europe/finland/index.php
Porvoo,Mikkeli,"47,000",https://www.worlddata.info/europe/finland/index.php
Mikkeli,Vaasa,"47,000",https://www.worlddata.info/europe/finland/index.php
Kokkola,Vaasa,"36,000",https://www.worlddata.info/europe/finland/index.php
Kajaani,Central Finland,"35,000",https://www.worlddata.info/europe/finland/index.php
Rovaniemi,Lapland,"35,000",https://www.worlddata.info/europe/finland/index.php
Seinäjoki,Kymi,"32,000",https://www.worlddata.info/europe/finland/index.php
Paris / Capital,Île-de-France,"2,206,000",https://www.worlddata.info/europe/france/index.php
Marseille,Côte d'Azur,"862,000",https://www.worlddata.info/europe/france/index.php
Lyon,Rhone-Alpes,"513,000",https://www.worlddata.info/europe/france/index.php
Toulouse,Midi-Pyrénées,"472,000",https://www.worlddata.info/europe/france/index.php
Nice,Côte d'Azur,"343,000",https://www.worlddata.info/europe/france/index.php
Nantes,Pays de la Loire,"303,000",https://www.worlddata.info/europe/france/index.php
Montpellier,Languedoc-Roussillon,"278,000",https://www.worlddata.info/europe/france/index.php
Strasbourg,Alsace,"277,000",https://www.worlddata.info/europe/france/index.php
Bordeaux,Aquitaine,"250,000",https://www.worlddata.info/europe/france/index.php
Lille,Pas-de-Calais,"233,000",https://www.worlddata.info/europe/france/index.php
Rennes,Brittany,"215,000",https://www.worlddata.info/europe/france/index.php
Reims,Champagne,"184,000",https://www.worlddata.info/europe/france/index.php
Cergy-Pontoise,Île-de-France,"183,000",https://www.worlddata.info/europe/france/index.php
Le Havre,Haute-Normandie,"172,000",https://www.worlddata.info/europe/france/index.php
Saint-Étienne,Rhone-Alpes,"171,000",https://www.worlddata.info/europe/france/index.php
Toulon,Côte d'Azur,"167,000",https://www.worlddata.info/europe/france/index.php
Dijon,Bourgogne,"155,000",https://www.worlddata.info/europe/france/index.php
Clermont-Ferrand,Auvergne,"141,000",https://www.worlddata.info/europe/france/index.php
Limoges,Limousin,"134,000",https://www.worlddata.info/europe/france/index.php
Amiens,Picardie,"133,000",https://www.worlddata.info/europe/france/index.php
Metz,Lorraine,"117,000",https://www.worlddata.info/europe/france/index.php
Besançon,Franche-Comté,"117,000",https://www.worlddata.info/europe/france/index.php
Orléans,Centre,"115,000",https://www.worlddata.info/europe/france/index.php
Rouen,Haute-Normandie,"110,000",https://www.worlddata.info/europe/france/index.php
Caen,Basse-Normandy,"106,000",https://www.worlddata.info/europe/france/index.php
Nanterre,Île-de-France,"87,000",https://www.worlddata.info/europe/france/index.php
Poitiers,Poitou-Charentes,"86,000",https://www.worlddata.info/europe/france/index.php
Ajaccio,Corsica,"54,000",https://www.worlddata.info/europe/france/index.php
Châlons-en-Champagne,Champagne,"51,000",https://www.worlddata.info/europe/france/index.php
Berlin / Capital,Berlin,"3,664,000",https://www.worlddata.info/europe/germany/index.php
Hamburg,Hamburg,"1,845,000",https://www.worlddata.info/europe/germany/index.php
Munich,Bavaria,"1,488,000",https://www.worlddata.info/europe/germany/index.php
Cologne,North Rhine-Westphalia,"1,086,000",https://www.worlddata.info/europe/germany/index.php
Frankfurt am Main,Hesse,"753,000",https://www.worlddata.info/europe/germany/index.php
Stuttgart,Baden-Wurttemberg,"635,000",https://www.worlddata.info/europe/germany/index.php
Dusseldorf,North Rhine-Westphalia,"619,000",https://www.worlddata.info/europe/germany/index.php
Leipzig,Saxony,"588,000",https://www.worlddata.info/europe/germany/index.php
Dortmund,North Rhine-Westphalia,"587,000",https://www.worlddata.info/europe/germany/index.php
Essen,North Rhine-Westphalia,"583,000",https://www.worlddata.info/europe/germany/index.php
Bremen,Bremen,"569,000",https://www.worlddata.info/europe/germany/index.php
Dresden,Saxony,"555,000",https://www.worlddata.info/europe/germany/index.php
Hannover,Lower-Saxony,"538,000",https://www.worlddata.info/europe/germany/index.php
Nuremberg,Bavaria,"518,000",https://www.worlddata.info/europe/germany/index.php
Duisburg,North Rhine-Westphalia,"499,000",https://www.worlddata.info/europe/germany/index.php
Karlsruhe,Baden-Wurttemberg,"313,000",https://www.worlddata.info/europe/germany/index.php
Wiesbaden,Hesse,"278,000",https://www.worlddata.info/europe/germany/index.php
Kiel,Schleswig-Holstein,"248,000",https://www.worlddata.info/europe/germany/index.php
Magdeburg,Saxony-Anhalt,"239,000",https://www.worlddata.info/europe/germany/index.php
Mainz,Rhineland-Palatinate,"217,000",https://www.worlddata.info/europe/germany/index.php
Erfurt,Thuringia,"214,000",https://www.worlddata.info/europe/germany/index.php
Saarbrücken,Saarland,"181,000",https://www.worlddata.info/europe/germany/index.php
Potsdam,Brandenburg,"178,000",https://www.worlddata.info/europe/germany/index.php
Schwerin,Mecklenburg-West Pomerania,"96,000",https://www.worlddata.info/europe/germany/index.php
,,,https://www.worlddata.info/europe/gibraltar/index.php
Athens / Capital,Attica,"664,000",https://www.worlddata.info/europe/greece/index.php
Thessaloníki,Central Macedonia,"354,000",https://www.worlddata.info/europe/greece/index.php
Pátra,West Greece,"168,000",https://www.worlddata.info/europe/greece/index.php
